city,latitude,longitude,weather,temperature,humidity,pressure,wind_speed
belushya guba,71.5376984,52.3427343,Clouds,19.02,90,1012,3.38
zhangye,38.9365134,100.4556326,Clear,38.43,37,1016,5.26
saint-philippe,45.3584499,-73.4790045,Clear,42.69,46,1038,13.8
hilo,19.7073734,-155.08158,Rain,76.28,82,1021,6.91
rikitea,-23.1229544,-134.9680141,Clouds,75.54,89,1015,14.25
vaini,-21.1925671,-175.1772797,Clouds,80.89,69,1016,9.22
havoysund,70.9963105,24.6609576,Clouds,35.83,86,1010,8.63
san patricio,27.9695325,-97.7731720386266,Clouds,83.61,56,1018,12.24
esperance,-33.858228,121.8931606,Clouds,58.98,77,1010,6.44
hermanus,-34.4175,19.2361111,Clouds,60.84,78,1015,9.57
chokurdakh,70.6193824,147.902397,Clouds,-2.85,99,1006,8.52
klaksvik,62.2266084,-6.5852705,Clouds,47.44,89,982,13.38
torbay,47.6576953,-52.726986,Clouds,43.81,68,995,29.93
atuona,-9.8037347,-139.0425737,Clouds,77.56,73,1014,13.73
aljezur,37.3151549,-8.8040533,Clouds,62.92,93,1018,5.82
nizhneyansk,71.440445,136.130646,Clouds,1.56,96,1007,11.97
santa rosa,38.4404925,-122.7141049,Clouds,49.62,86,1012,5.99
whitehorse,60.721571,-135.054932,Clouds,11.21,72,1019,11.5
isangel,-19.5410863,169.2810885,Clouds,80.17,79,1008,10.56
ponta do sol,32.681067,-17.104073,Rain,68.94,83,1020,7.34
norrtalje,59.766667,18.7,Clouds,50.81,96,1003,5.73
yellowknife,62.4540807,-114.377385,Snow,10.58,92,1027,5.01
inta,66.039749,60.13158,Snow,24.37,98,1009,4.47
hendijan,30.2363224,49.7122886,Clouds,74.71,40,1011,6.49
bredasdorp,-34.533055,20.042778,Clouds,59.72,74,1014,7.25
bejar,40.3865812,-5.7649619,Clouds,53.4,93,1017,7.52
kaitangata,-46.2817388,169.8464139,Clouds,63.43,54,1016,6.71
kapaa,22.0747334,-159.3191601,Rain,77.05,81,1021,19.57
busselton,-33.644499,115.3488754,Clouds,58.41,82,1011,3.53
albany,42.6511674,-73.754968,Clear,46.67,44,1035,1.01
pimentel,39.485542,9.06554,Clouds,58.82,94,1018,6.91
ushuaia,-54.806115899999995,-68.3184972880496,Clouds,51.49,54,996,23.02
sambava,-14.254956,50.1556533,Clouds,69.57,89,1015,6.6
santa isabel do rio negro,-0.4160389,-65.0153096,Clouds,77.49,88,1009,2.8
amboasary,-18.44362,48.262943,Clouds,58.28,98,1018,1.79
fraserburgh,57.6935974,-2.0051497,Clouds,47.66,84,984,15.21
codrington,51.508188,-2.3936619,Clouds,51.01,90,997,4.0
bolshiye uki,56.949043,72.625717,Clouds,24.37,92,1019,8.23
saint george,12.0535331,-61.751805,Clouds,81.48,83,1010,8.05
