city,latitude,longitude,weather,temperature,humidity,pressure,wind_speed
maykor,59.0071405,55.8869331,Snow,33.94,98,1016,5.23
butaritari,2.9205375,172.91886331442205,Clouds,81.88,71,1008,19.28
rikitea,-23.1229544,-134.9680141,Clouds,73.44,85,1017,9.26
pangnirtung,66.1480197,-65.7172826,Clouds,2.59,97,1009,2.57
kaitangata,-46.2817388,169.8464139,Clear,55.98,57,1027,11.7
lata,18.3983393,76.562087,Clear,63.55,69,1017,6.13
luderitz,-26.6500086,15.157266,Clear,57.33,80,1012,14.07
san policarpo,12.1805518,125.5074292,Clouds,81.23,81,1012,9.19
victoria,48.4283182,-123.3649533,Clouds,38.95,80,1022,5.99
ushuaia,-54.806115899999995,-68.3184972880496,Clouds,38.89,75,1006,25.32
deputatskiy,54.8408485,61.1269918,Clouds,27.43,90,1023,7.7
oktyabrskoye,45.3619699,36.366242,Clear,48.96,84,1025,11.9
punta arenas,-53.1625688,-70.907822,Clouds,43.09,61,1009,16.11
abu dhabi,24.4538352,54.3774014,Clear,78.82,53,1014,4.61
severo-kurilsk,50.6683048,156.1154399,Clouds,38.59,78,1004,17.4
jutai,-2.7471478,-66.7721255,Clouds,75.09,91,1010,3.04
hilo,19.7073734,-155.08158,Clear,81.64,63,1018,10.36
ucluelet,48.9426817,-125.5460498,Clouds,42.89,81,1022,7.05
esperance,-33.858228,121.8931606,Clouds,68.74,59,1009,10.09
new norfolk,-42.7801998,147.0615332,Clouds,77.43,39,1013,1.99
bluff,-46.59882,168.3433685,Clear,58.93,61,1026,16.84
taltal,-25.4078293,-70.4858424,Clear,61.18,76,1018,4.97
lagoa,37.13258125,-8.45505094811731,Clear,60.67,82,1021,8.88
east london,-33.0191604,27.8998573,Rain,64.08,79,1019,6.96
lebu,-37.6099644,-73.6559477,Rain,54.93,85,1017,17.83
mount isa,-20.7289898,139.4931522,Clear,91.26,35,1012,5.75
bud,50.8285252,-4.5469361,Clouds,53.92,90,1013,1.99
albany,42.6511674,-73.754968,Clear,44.42,49,1030,6.91
manubul,5.4712738000000005,120.79596706760519,Clouds,82.83,73,1010,2.04
jamestown,-15.9277296,-5.7160872,Clouds,66.74,73,1016,15.23
mataura,-46.192734,168.8642685,Clear,58.48,30,1025,5.21
tsihombe,-25.318547,45.484057,Clear,72.41,80,1014,5.35
ribeira grande,37.8225227,-25.5194914,Clouds,69.12,98,1015,16.11
longyearbyen,78.2231558,15.6463656,Clear,23.27,68,1013,11.5
nemuro,43.3301154,145.5829068,Clouds,53.56,68,1015,16.98
fare,45.90802,13.5165379,Mist,56.48,95,1020,5.99
bredasdorp,-34.533055,20.042778,Clouds,57.87,65,1018,9.91
mount gambier,-37.8246698,140.7820067624113,Clouds,73.02,63,1008,10.49
kulhudhuffushi,6.6233167,73.06946631896413,Clouds,81.19,73,1012,4.56
coihaique,-45.5711804,-72.0684863,Clear,55.65,58,1011,4.61
saint-philippe,45.3584499,-73.4790045,Clouds,47.46,51,1025,17.27
yerbogachen,61.275021,108.009712,Snow,20.05,93,1015,12.64
palmer,61.5995703,-149.11109,Clouds,34.88,51,1002,13.8
tasiilaq,65.6152573,-37.6378149,Clouds,32.5,84,994,6.96
nampula,-15.1194063,39.2615886,Clear,71.62,83,1014,9.22
maarianhamina,60.102423,19.94126,Clouds,48.09,93,1003,5.75
kisangani,0.5184021,25.2057292,Clouds,69.08,98,1010,1.45
talnakh,69.4939889,88.3907607,Clouds,1.58,99,1016,7.47
husavik,66.0433168,-17.3410402,Clouds,41.27,99,982,8.57
carnarvon,-24.8826131,113.6576486,Clouds,69.24,56,1014,11.99
busselton,-33.644499,115.3488754,Rain,63.93,73,1009,14.38
olinda,-7.9986401,-34.8459552,Clouds,80.62,69,1015,5.75
upernavik,72.7847392,-56.1469625,Clouds,5.45,74,1002,5.82
saint-leu,-21.1677694,55.2881932,Clouds,73.63,94,1017,9.01
hithadhoo,1.7959425,73.38755195657038,Rain,80.56,77,1012,13.4
ilebo,-4.3316446,20.5882508,Clouds,68.2,99,1010,1.1
cape town,-33.928992,18.417396,Clear,59.09,67,1017,10.0
port elizabeth,-33.9617051,25.6207519,Rain,59.11,88,1020,4.61
tuktoyaktuk,69.4440189,-133.031904,Clouds,12.2,85,1009,10.36
cidreira,-30.1657063,-50.218331,Clear,62.38,87,1017,4.05
hobart,-42.8825088,147.3281233,Clear,79.52,46,1008,13.8
tateyama,34.9965304,139.8699838,Clear,68.9,55,1024,19.01
kutum,14.2108373,24.649584,Clear,63.57,30,1013,7.92
paita,-5.0851637,-81.1136793,Clouds,64.26,83,1017,13.11
chicama,-7.843424,-79.1451857,Clouds,61.29,82,1017,5.48
dikson,73.5083894,80.5123816,Clouds,-3.66,100,1009,9.24
burns lake,54.230269,-125.7645032,Clear,5.02,88,1027,2.35
sault sainte marie,46.52391,-84.320068,Mist,46.22,96,1017,6.91
zwettl,48.6050427,15.1681644,Rain,45.9,82,1020,4.05
mar del plata,-37.9977225,-57.5482703,Clear,61.54,85,1016,13.0
eenhana,-17.4757612,16.3368249,Clear,69.06,32,1009,6.38
labutta,16.3527339,95.25289907403995,Clouds,76.55,76,1014,8.1
tupik,54.426773,119.94368,Clear,13.28,78,1027,1.54
atuona,-9.8037347,-139.0425737,Clouds,78.15,73,1013,16.62
belomorsk,64.5216684,34.7625835,Clouds,34.05,94,1006,3.2
kristiinankaupunki,62.2736018,21.3730807,Clouds,46.58,96,1001,7.7
nikolskoye,59.7034799,30.7861084,Clouds,49.68,95,1008,8.59
alice springs,-23.6983884,133.8812885,Clear,88.21,40,1007,19.57
vaini,-21.1925671,-175.1772797,Clouds,80.89,83,1014,10.36
dharchula,29.8491135,80.5414711,Clouds,57.61,81,1023,4.32
tura,47.3900474,0.6889268,Fog,45.18,100,1023,3.44
college,45.32664695,-75.83855656986515,Clouds,42.6,45,1025,5.75
karratha,-20.7370067,116.8478592,Clear,80.37,35,1011,17.49
rio grande,-53.7856766,-67.7016369,Clear,41.04,56,1007,12.66
severnyy,77.29536569999999,90.75701158311259,Clouds,-1.62,91,1004,6.53
